Date,Open,High,Low,Close,Adj Close,Volume
7/1/2019,230.210007,233.100006,226.279999,227.169998,227.169998,8213400
7/2/2019,228.889999,229.149994,222.220001,224.550003,224.550003,9259000
7/3/2019,239.389999,241.570007,234.509995,234.899994,234.899994,14201100
7/5/2019,234.570007,235.449997,230.800003,233.100006,233.100006,7065700
7/8/2019,231.240005,232.25,228.660004,230.339996,230.339996,5880500
7/9/2019,228.970001,231,227.279999,230.059998,230.059998,6190800
7/10/2019,234.149994,238.940002,233.139999,238.919998,238.919998,9145700
7/11/2019,238.139999,241.5,235.800003,238.600006,238.600006,7514400
7/12/2019,239.75,245.380005,239.710007,245.080002,245.080002,9200500
7/15/2019,248,254.419998,244.860001,253.5,253.5,11000100
7/16/2019,249.300003,253.529999,247.929993,252.380005,252.380005,8149000
7/17/2019,255.669998,258.309998,253.350006,254.860001,254.860001,9764700
7/18/2019,255.050003,255.75,251.889999,253.539993,253.539993,4758600
7/19/2019,255.690002,259.959991,254.619995,258.179993,258.179993,7048400
7/22/2019,258.75,262.149994,254.190002,255.679993,255.679993,6842400
7/23/2019,256.709991,260.480011,254.5,260.170013,260.170013,5023100
7/24/2019,259.170013,266.070007,258.160004,264.880005,264.880005,11072800
7/25/2019,233.5,234.5,225.550003,228.820007,228.820007,22418300
7/26/2019,226.919998,230.259995,222.25,228.039993,228.039993,10027700
7/29/2019,227.089996,235.940002,226.029999,235.770004,235.770004,9273300
7/30/2019,232.899994,243.360001,232.179993,242.259995,242.259995,8109000
7/31/2019,243,246.679993,236.649994,241.610001,241.610001,9178200
8/1/2019,242.649994,244.509995,231.770004,233.850006,233.850006,8259500
8/2/2019,231.350006,236.270004,229.229996,234.339996,234.339996,6136500
8/5/2019,229.600006,231.369995,225.779999,228.320007,228.320007,7028300
8/6/2019,231.880005,232.5,225.75,230.75,230.75,5564200
8/7/2019,226.5,233.570007,225.800003,233.419998,233.419998,4776500
8/8/2019,234.449997,239.800003,232.649994,238.300003,238.300003,5274300
8/9/2019,236.050003,238.960007,233.809998,235.009995,235.009995,3898200
8/12/2019,232.990005,235.770004,228.75,229.009995,229.009995,4663900
8/13/2019,228.809998,236,227.550003,235,235,4848100
8/14/2019,231.210007,231.5,216.690002,219.619995,219.619995,9562600
8/15/2019,220.860001,221.559998,211.550003,215.639999,215.639999,8159600
8/16/2019,216.660004,222.240005,216.020004,219.940002,219.940002,5098500
8/19/2019,224.210007,227.830002,221.699997,226.830002,226.830002,5309600
8/20/2019,227.619995,229.089996,224.539993,225.860001,225.860001,4125200
8/21/2019,222.009995,223.220001,217.600006,220.830002,220.830002,7794300
8/22/2019,222.800003,225.399994,218.220001,222.149994,222.149994,6559000
8/23/2019,219.970001,221.169998,211,211.399994,211.399994,8538600
8/26/2019,213.600006,215.020004,211.539993,215,215,5051900
8/27/2019,215.740005,218.800003,212.029999,214.080002,214.080002,5416200
8/28/2019,213.690002,217.25,212.309998,215.589996,215.589996,3225500
8/29/2019,219,223.399994,218,221.710007,221.710007,5179500
8/30/2019,229.149994,232.440002,224.210007,225.610001,225.610001,9320600
9/3/2019,224.080002,228.949997,223.160004,225.009995,225.009995,5354100
9/4/2019,226.889999,228.460007,219.210007,220.679993,220.679993,5761000
9/5/2019,222.5,229.800003,220.850006,229.580002,229.580002,7395300
9/6/2019,227.199997,229.639999,225.169998,227.449997,227.449997,4189400
9/9/2019,230,233.759995,229.229996,231.789993,231.789993,4802700
9/10/2019,230.800003,235.539993,228.940002,235.539993,235.539993,4883700
9/11/2019,237.380005,248.169998,236,247.100006,247.100006,10042800
9/12/2019,247.699997,253.5,244.399994,245.869995,245.869995,8581200
9/13/2019,246.960007,248.449997,244.869995,245.199997,245.199997,5313100
9/16/2019,246,247.429993,241.169998,242.809998,242.809998,4728100
9/17/2019,242.470001,245.600006,240.369995,244.789993,244.789993,3865400
9/18/2019,245,248.169998,242.369995,243.490005,243.490005,4170200
9/19/2019,246,247.940002,244.839996,246.600006,246.600006,4795800
9/20/2019,246.490005,246.949997,238.160004,240.619995,240.619995,6353000
9/23/2019,240,245.179993,239.220001,241.229996,241.229996,4340200
9/24/2019,241.520004,241.990005,222.610001,223.210007,223.210007,12891500
9/25/2019,224.559998,228.979996,218.360001,228.699997,228.699997,9427100
9/26/2019,230.660004,243.309998,227.399994,242.559998,242.559998,11884500
9/27/2019,242.199997,248.710007,238.729996,242.130005,242.130005,11116400
9/30/2019,243,243.979996,236.110001,240.869995,240.869995,5879800
10/1/2019,241.5,245.949997,239.130005,244.690002,244.690002,6162600
10/2/2019,243.289993,244.649994,239.429993,243.130005,243.130005,5631400
10/3/2019,231.860001,234.479996,224.279999,233.029999,233.029999,15084500
10/4/2019,231.610001,234.779999,228.070007,231.429993,231.429993,7995000
10/7/2019,229.800003,238.559998,228.550003,237.720001,237.720001,8064200
10/8/2019,235.869995,243.940002,234.5,240.050003,240.050003,8678200
10/9/2019,241.320007,247.300003,240.649994,244.529999,244.529999,6894400
10/10/2019,245.279999,249.279999,241.580002,244.740005,244.740005,6283300
10/11/2019,247.149994,251.080002,246.809998,247.889999,247.889999,8475400
10/14/2019,247.899994,258.549988,247.130005,256.959991,256.959991,10205000
10/15/2019,257.700012,260,254.119995,257.890015,257.890015,6432800
10/16/2019,257.390015,262.100006,256.920013,259.75,259.75,6684100
10/17/2019,262.5,264.779999,260.170013,261.970001,261.970001,4769300
10/18/2019,260.700012,262.799988,255.100006,256.950012,256.950012,5749800
10/21/2019,258.329987,259.5,250.179993,253.5,253.5,5020300
10/22/2019,254.320007,258.329987,250.850006,255.580002,255.580002,4600800
10/23/2019,254.5,256.140015,251.350006,254.679993,254.679993,5261100
10/24/2019,298.369995,304.929993,289.200012,299.679993,299.679993,29720900
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
